"","TargetID","adjp","coef","coef.hrs"
"1","cg13869341",0.92863508666761,-2.02622282732475e-05,-0.00121573369639485
"2","cg14008030",0.839835163529871,-7.73082781009856e-06,-0.000463849668605913
"3","cg12045430",0.888604016883676,-1.35244225205098e-05,-0.000811465351230589
"4","cg20826792",0.0959319985746456,-8.12126413862435e-05,-0.00487275848317461
"5","cg00381604",0.834655283859803,-1.43454734708455e-05,-0.000860728408250727
"6","cg20253340",0.681389066972621,-3.1564892060402e-05,-0.00189389352362412
"7","cg21870274",0.428560730579253,-7.19758904780805e-05,-0.00431855342868483
"8","cg03130891",0.993612480264683,-1.88651128231555e-06,-0.000113190676938933
"9","cg24335620",0.999432547168664,1.04799249778308e-07,6.2879549866985e-06
"10","cg16162899",0.334823954555789,-0.00011469719583721,-0.00688183175023257
"11","cg17149495",0.476853557062139,-0.000106114178666681,-0.00636685072000085
"12","cg22802167",0.813421357111548,2.83414474223601e-05,0.0017004868453416
"13","cg24669183",0.227257466570216,-6.95775460683933e-05,-0.0041746527641036
"14","cg17308840",0.385060271233915,-2.79781392092954e-05,-0.00167868835255773
"15","cg17866181",0.216410938188355,-0.000116112086834288,-0.00696672521005731
"16","cg08477687",0.889658354320515,1.99109069688096e-05,0.00119465441812858
"17","cg00645010",0.758402176492624,3.13566466690457e-05,0.00188139880014274
"18","cg15394630",0.855619030703702,1.8128743517267e-05,0.00108772461103602
"19","cg23917638",0.785735804199198,2.96066370982236e-05,0.00177639822589341
"20","cg18024856",0.78222764369562,5.27976297674047e-05,0.00316785778604428
"21","cg18761878",0.793517960357519,1.69753833000036e-05,0.00101852299800021
"22","cg27534567",0.878055395472487,2.86662164607659e-05,0.00171997298764595
"23","cg21996134",0.877866936822493,8.08793151651286e-06,0.000485275890990772
"24","cg07264491",0.442200732982756,-2.16945735884759e-05,-0.00130167441530856
"25","cg15560884",0.699738355050891,-1.42099733650416e-05,-0.000852598401902494
"26","cg10037654",0.928437835742585,-6.77116082438262e-06,-0.000406269649462957
"27","cg14057946",0.738923680913203,-1.45043742541776e-05,-0.000870262455250656
"28","cg11422233",0.32588590434487,-4.39525066666085e-05,-0.00263715039999651
"29","cg16047670",0.673685132299921,-6.68601449947879e-05,-0.00401160869968727
"30","cg18263059",0.823391653212057,-5.06759164056303e-05,-0.00304055498433782
"31","cg01014490",0.718559165934105,-3.74628545651159e-05,-0.00224777127390696
"32","cg04231937",0.6720407635677,-5.13247851069429e-05,-0.00307948710641657
"33","cg04496485",0.593849212852132,-3.9207923505361e-05,-0.00235247541032166
"34","cg17505339",0.768377272804958,-2.06408183615895e-05,-0.00123844910169537
"35","cg09989996",0.613871134006002,-1.34558256499068e-05,-0.000807349538994408
"36","cg11954957",0.719099258629396,-2.50607626613619e-05,-0.00150364575968171
"37","cg01068023",0.945338630244247,9.50664567454912e-06,0.000570398740472947
"38","cg08167039",0.831886179302654,1.92669594796052e-05,0.00115601756877631
"39","cg20677962",0.42661665175346,-3.7382253025029e-05,-0.00224293518150174
"40","cg06402284",0.664978890678639,-3.35760292864127e-05,-0.00201456175718476
"41","cg24699430",0.98815409259679,-1.31291307817992e-06,-7.87747846907953e-05
"42","cg01551879",0.86431042432794,-1.0863990112635e-05,-0.0006518394067581
"43","cg22394869",0.861242744970254,-1.11270269585359e-05,-0.000667621617512157
"44","cg02550592",0.787971409421565,3.06181208882989e-05,0.00183708725329793
"45","cg03213877",0.946035813701201,-5.82986048339451e-06,-0.000349791629003671
"46","cg23803172",0.967918957239471,-2.63665980748279e-06,-0.000158199588448967
"47","cg19411932",0.879378596653731,-8.81536286444106e-06,-0.000528921771866463
"48","cg20788133",0.481942879486897,-6.17421980802239e-05,-0.00370453188481343
"49","cg08939496",0.997448640758583,5.78659193760476e-07,3.47195516256286e-05
"50","cg16736630",0.183726107095284,-5.40172710788669e-05,-0.00324103626473201
"51","cg01793617",0.828105588390286,-1.10352302682487e-05,-0.00066211381609492
"52","cg09139287",0.267980980876092,8.94896115599476e-05,0.00536937669359686
"53","cg05662829",0.966936271779585,6.46443541596099e-06,0.000387866124957659
"54","cg22714517",0.893153204627014,-1.39346489530643e-05,-0.000836078937183858
"55","cg00168193",0.963882346081348,7.56420107023161e-06,0.000453852064213896
"56","cg14280098",0.607389385363043,-3.4642272208402e-05,-0.00207853633250412
"57","cg15903280",0.363998786195193,4.08984401477734e-05,0.0024539064088664
"58","cg04352959",0.950149475724176,5.61658039163951e-06,0.000336994823498371
"59","cg08258224",0.950149865849421,-6.41283838235738e-06,-0.000384770302941443
"60","cg12285627",0.392484640415341,-1.49163158645267e-05,-0.000894978951871599
"61","cg05898754",0.948539204087438,-4.10302681963439e-06,-0.000246181609178064
"62","cg03128332",0.630740060864462,-3.76592722261544e-05,-0.00225955633356926
"63","cg15994267",0.648939066335955,-1.57094692904668e-05,-0.000942568157428007
"64","cg16619049",0.66463387380712,5.14783086817033e-05,0.0030886985209022
"65","cg23100540",0.374768605616093,3.59807795372884e-05,0.00215884677223731
"66","cg20275697",0.641063814425939,-5.74002503197403e-05,-0.00344401501918442
"67","cg05475702",0.227734978586645,3.72446997387018e-05,0.00223468198432211
"68","cg18147296",0.295185790456642,5.59915798647863e-05,0.00335949479188718
"69","cg05597748",0.818845450216349,1.06059243660675e-05,0.000636355461964048
"70","cg00111697",0.970094685905279,3.58055456330932e-06,0.000214833273798559
"71","cg10988531",0.95070890686893,6.91689182353471e-06,0.000415013509412082
"72","cg24373735",0.558042762634986,-5.919890222145e-05,-0.003551934133287
