"","TargetID","adjp","coef","coef.hrs","Significance"
"1","cg13869341",0.883731927060228,-3.84759983033591e-05,-0.00230855989820155,"non-sig"
"2","cg14008030",0.857739166222946,-8.90844085503021e-06,-0.000534506451301812,"non-sig"
"3","cg12045430",0.952779953134196,-8.11089934830398e-06,-0.000486653960898239,"non-sig"
"4","cg20826792",0.0932550802478668,-9.74702219049355e-05,-0.00584821331429613,"non-sig"
"5","cg00381604",0.935006001890487,-8.60720395139341e-06,-0.000516432237083604,"non-sig"
"6","cg20253340",0.6871332737888,-3.90354762690138e-05,-0.00234212857614083,"non-sig"
"7","cg21870274",0.589493154844158,-6.84007193580923e-05,-0.00410404316148553,"non-sig"
"8","cg03130891",0.857460734125842,-3.55511096831371e-05,-0.00213306658098823,"non-sig"
"9","cg24335620",0.996792239532713,-1.19384795528817e-06,-7.16308773172901e-05,"non-sig"
"10","cg16162899",0.597445880362633,-9.35570978457884e-05,-0.0056134258707473,"non-sig"
"11","cg17149495",0.425316424369349,-0.000140080167512855,-0.00840481005077132,"non-sig"
"12","cg22802167",0.901522120058208,2.18045008218715e-05,0.00130827004931229,"non-sig"
"13","cg24669183",0.271352991169686,-7.92919738196317e-05,-0.0047575184291779,"non-sig"
"14","cg17308840",0.500070495111698,-2.90349616117641e-05,-0.00174209769670584,"non-sig"
"15","cg17866181",0.124203082176837,-0.000160202372282675,-0.00961214233696047,"non-sig"
"16","cg08477687",0.915427572216227,2.02662626664969e-05,0.00121597575998982,"non-sig"
"17","cg00645010",0.821907889288057,3.1161325457038e-05,0.00186967952742228,"non-sig"
"18","cg15394630",0.949439791393164,9.73809167896692e-06,0.000584285500738015,"non-sig"
"19","cg23917638",0.935025895896312,1.45400765408903e-05,0.000872404592453416,"non-sig"
"20","cg18024856",0.716394917066765,8.18467745097734e-05,0.00491080647058641,"non-sig"
"21","cg18761878",0.999923209016437,-1.49008223451144e-08,-8.94049340706863e-07,"non-sig"
"22","cg27534567",0.955468976862685,1.50821280252856e-05,0.000904927681517135,"non-sig"
"23","cg21996134",0.693008738503914,2.02310269306309e-05,0.00121386161583785,"non-sig"
"24","cg07264491",0.723054385048555,-1.57972701041855e-05,-0.000947836206251129,"non-sig"
"25","cg15560884",0.531341576684795,-2.48238338766401e-05,-0.00148943003259841,"non-sig"
"26","cg10037654",0.962548373953732,4.70684037704065e-06,0.000282410422622439,"non-sig"
"27","cg14057946",0.72993207583947,-1.87291046635762e-05,-0.00112374627981457,"non-sig"
"28","cg11422233",0.506760055178548,-4.13280631673735e-05,-0.00247968379004241,"non-sig"
"29","cg16047670",0.724718133796656,-7.37730279195921e-05,-0.00442638167517552,"non-sig"
"30","cg18263059",0.800833824478832,-6.85719695965911e-05,-0.00411431817579547,"non-sig"
"31","cg01014490",0.901723203079945,-2.11023989155024e-05,-0.00126614393493015,"non-sig"
"32","cg04231937",0.81513869383598,-4.0901024553536e-05,-0.00245406147321216,"non-sig"
"33","cg04496485",0.733139768450248,-3.55694197227702e-05,-0.00213416518336621,"non-sig"
"34","cg17505339",0.863948923433731,-1.73409825500441e-05,-0.00104045895300265,"non-sig"
"35","cg09989996",0.448962754117238,-2.20679851483966e-05,-0.0013240791089038,"non-sig"
"36","cg11954957",0.929174285370207,-1.08118507657131e-05,-0.000648711045942783,"non-sig"
"37","cg01068023",0.928669721293253,1.51954340577064e-05,0.000911726043462383,"non-sig"
"38","cg08167039",0.870653243296277,1.98155211888652e-05,0.00118893127133191,"non-sig"
"39","cg20677962",0.826247695482237,-1.83855143238709e-05,-0.00110313085943225,"non-sig"
"40","cg06402284",0.776937428168154,-3.07226037385419e-05,-0.00184335622431252,"non-sig"
"41","cg24699430",0.997349123708949,-3.92338183361175e-07,-2.35402910016705e-05,"non-sig"
"42","cg01551879",0.786341576242666,-1.94604503332148e-05,-0.00116762701999289,"non-sig"
"43","cg22394869",0.951178566714836,-5.90021845119033e-06,-0.00035401310707142,"non-sig"
"44","cg02550592",0.898223490517557,2.21568011003583e-05,0.0013294080660215,"non-sig"
"45","cg03213877",0.996437316722445,-7.29828140497453e-07,-4.37896884298472e-05,"non-sig"
